Accident year,Casualty sex,Casualty age,Weather condition,Accident month,Killed or seriously injured
2022,Female,0,Fine no high winds,January,1
2022,Female,0,Fine no high winds,February,2
2022,Female,0,Fine no high winds,March,1
2022,Female,0,Fine no high winds,July,1
2022,Female,0,Fine no high winds,August,1
2022,Female,0,Fine no high winds,September,1
2022,Female,1,Fine no high winds,January,2
2022,Female,1,Fine no high winds,February,3
2022,Female,1,Fine no high winds,July,1
2022,Female,1,Fine no high winds,August,2
2022,Female,1,Fine no high winds,September,1
2022,Female,1,Fine no high winds,October,1
2022,Female,1,Raining no high winds,December,1
2022,Female,2,Fine no high winds,January,1
2022,Female,2,Fine no high winds,March,1
2022,Female,2,Fine no high winds,April,2
2022,Female,2,Fine no high winds,May,2
2022,Female,2,Fine no high winds,June,2
2022,Female,2,Fine no high winds,July,2
2022,Female,2,Fine no high winds,August,1
2022,Female,2,Fine no high winds,September,2
2022,Female,2,Fine no high winds,October,4
2022,Female,2,Fine no high winds,November,1
2022,Female,2,Raining no high winds,October,1
2022,Female,3,Fine no high winds,January,3
2022,Female,3,Fine no high winds,February,1
2022,Female,3,Fine no high winds,March,3
2022,Female,3,Fine no high winds,April,2
2022,Female,3,Fine no high winds,June,7
2022,Female,3,Fine no high winds,July,4
2022,Female,3,Fine no high winds,August,1
2022,Female,3,Fine no high winds,September,2
2022,Female,3,Fine no high winds,October,2
2022,Female,3,Fine no high winds,November,1
2022,Female,3,Fine no high winds,December,3
2022,Female,3,Raining no high winds,February,1
2022,Female,3,Raining no high winds,November,1
2022,Female,3,Raining no high winds,December,1
2022,Female,4,Fine no high winds,January,2
2022,Female,4,Fine no high winds,February,2
2022,Female,4,Fine no high winds,March,5
2022,Female,4,Fine no high winds,May,4
2022,Female,4,Fine no high winds,June,7
2022,Female,4,Fine no high winds,July,2
2022,Female,4,Fine no high winds,August,2
2022,Female,4,Fine no high winds,September,2
2022,Female,4,Fine no high winds,October,2
2022,Female,4,Fine no high winds,November,1
2022,Female,4,Raining no high winds,February,2
2022,Female,4,Raining no high winds,October,1
2022,Female,4,Snowing no high winds,April,1
2022,Female,4,Fine + high winds,January,1
2022,Female,4,Fine + high winds,February,1
2022,Female,5,Fine no high winds,January,3
2022,Female,5,Fine no high winds,February,1
2022,Female,5,Fine no high winds,March,2
2022,Female,5,Fine no high winds,April,4
2022,Female,5,Fine no high winds,May,2
2022,Female,5,Fine no high winds,June,5
2022,Female,5,Fine no high winds,July,1
2022,Female,5,Fine no high winds,August,4
2022,Female,5,Fine no high winds,September,1
2022,Female,5,Fine no high winds,October,1
2022,Female,5,Fine no high winds,November,1
2022,Female,5,Fine no high winds,December,1
2022,Female,5,Raining no high winds,January,1
2022,Female,5,Raining no high winds,May,1
2022,Female,5,Raining no high winds,December,3
2022,Female,6,Fine no high winds,January,2
2022,Female,6,Fine no high winds,February,2
2022,Female,6,Fine no high winds,March,2
2022,Female,6,Fine no high winds,April,2
2022,Female,6,Fine no high winds,May,6
2022,Female,6,Fine no high winds,July,3
2022,Female,6,Fine no high winds,August,2
2022,Female,6,Fine no high winds,September,2
2022,Female,6,Fine no high winds,October,1
2022,Female,6,Raining no high winds,September,1
2022,Female,6,Raining no high winds,October,1
2022,Female,6,Raining no high winds,December,1
2022,Female,7,Fine no high winds,January,2
2022,Female,7,Fine no high winds,March,3
2022,Female,7,Fine no high winds,April,1
2022,Female,7,Fine no high winds,May,2
2022,Female,7,Fine no high winds,June,2
2022,Female,7,Fine no high winds,July,1
2022,Female,7,Fine no high winds,August,4
2022,Female,7,Fine no high winds,September,4
2022,Female,7,Fine no high winds,October,1
2022,Female,7,Fine no high winds,November,3
2022,Female,7,Fine no high winds,December,2
2022,Female,7,Raining no high winds,February,1
2022,Female,7,Raining no high winds,August,1
2022,Female,7,Raining no high winds,October,2
2022,Female,7,Raining no high winds,November,3
2022,Female,7,Raining no high winds,December,1
2022,Female,8,Fine no high winds,January,2
2022,Female,8,Fine no high winds,February,3
2022,Female,8,Fine no high winds,March,5
2022,Female,8,Fine no high winds,April,4
2022,Female,8,Fine no high winds,May,4
2022,Female,8,Fine no high winds,June,2
2022,Female,8,Fine no high winds,July,6
2022,Female,8,Fine no high winds,August,5
2022,Female,8,Fine no high winds,October,2
2022,Female,8,Fine no high winds,November,4
2022,Female,8,Fine no high winds,December,1
2022,Female,8,Raining no high winds,February,1
2022,Female,8,Raining no high winds,September,1
2022,Female,8,Fine + high winds,January,1
2022,Female,8,Fine + high winds,February,1
2022,Female,9,Fine no high winds,January,2
2022,Female,9,Fine no high winds,February,6
2022,Female,9,Fine no high winds,March,5
2022,Female,9,Fine no high winds,April,2
2022,Female,9,Fine no high winds,May,4
2022,Female,9,Fine no high winds,June,4
2022,Female,9,Fine no high winds,July,6
2022,Female,9,Fine no high winds,August,4
2022,Female,9,Fine no high winds,September,4
2022,Female,9,Fine no high winds,November,2
2022,Female,9,Fine no high winds,December,2
2022,Female,9,Raining no high winds,March,1
2022,Female,9,Raining no high winds,May,2
2022,Female,9,Raining no high winds,September,1
2022,Female,9,Raining no high winds,November,1
2022,Female,9,Raining + high winds,November,1
2022,Female,9,Fog or mist,May,1
2022,Female,10,Fine no high winds,January,6
2022,Female,10,Fine no high winds,February,2
2022,Female,10,Fine no high winds,March,2
2022,Female,10,Fine no high winds,April,5
2022,Female,10,Fine no high winds,May,5
2022,Female,10,Fine no high winds,June,4
2022,Female,10,Fine no high winds,July,5
2022,Female,10,Fine no high winds,August,5
2022,Female,10,Fine no high winds,September,4
2022,Female,10,Fine no high winds,October,3
2022,Female,10,Fine no high winds,November,2
2022,Female,10,Fine no high winds,December,2
2022,Female,10,Raining no high winds,September,1
2022,Female,10,Raining no high winds,November,1
2022,Female,10,Raining no high winds,December,1
2022,Female,10,Fine + high winds,February,1
2022,Female,10,Fog or mist,December,2
2022,Female,11,Fine no high winds,January,5
2022,Female,11,Fine no high winds,February,4
2022,Female,11,Fine no high winds,March,6
2022,Female,11,Fine no high winds,April,4
2022,Female,11,Fine no high winds,May,6
2022,Female,11,Fine no high winds,June,9
2022,Female,11,Fine no high winds,July,6
2022,Female,11,Fine no high winds,August,5
2022,Female,11,Fine no high winds,September,14
2022,Female,11,Fine no high winds,October,8
2022,Female,11,Fine no high winds,November,8
2022,Female,11,Fine no high winds,December,6
2022,Female,11,Raining no high winds,February,2
2022,Female,11,Raining no high winds,March,4
2022,Female,11,Raining no high winds,October,1
2022,Female,11,Raining no high winds,November,3
2022,Female,11,Fine + high winds,February,1
2022,Female,12,Fine no high winds,January,9
2022,Female,12,Fine no high winds,February,5
2022,Female,12,Fine no high winds,March,6
2022,Female,12,Fine no high winds,April,5
2022,Female,12,Fine no high winds,May,12
2022,Female,12,Fine no high winds,June,7
2022,Female,12,Fine no high winds,July,12
2022,Female,12,Fine no high winds,August,4
2022,Female,12,Fine no high winds,September,6
2022,Female,12,Fine no high winds,October,11
2022,Female,12,Fine no high winds,November,4
2022,Female,12,Fine no high winds,December,6
2022,Female,12,Raining no high winds,February,1
2022,Female,12,Raining no high winds,March,2
2022,Female,12,Raining no high winds,May,1
2022,Female,12,Raining no high winds,August,1
2022,Female,12,Raining no high winds,October,2
2022,Female,12,Raining no high winds,November,1
2022,Female,12,Fine + high winds,October,1
2022,Female,12,Raining + high winds,October,1
2022,Female,13,Fine no high winds,January,5
2022,Female,13,Fine no high winds,February,2
2022,Female,13,Fine no high winds,March,8
2022,Female,13,Fine no high winds,April,8
2022,Female,13,Fine no high winds,May,7
2022,Female,13,Fine no high winds,June,12
2022,Female,13,Fine no high winds,July,9
2022,Female,13,Fine no high winds,August,6
2022,Female,13,Fine no high winds,September,4
2022,Female,13,Fine no high winds,October,3
2022,Female,13,Fine no high winds,November,9
2022,Female,13,Fine no high winds,December,7
2022,Female,13,Raining no high winds,March,1
2022,Female,13,Raining no high winds,May,1
2022,Female,13,Raining no high winds,August,1
2022,Female,13,Raining no high winds,September,1
2022,Female,13,Raining no high winds,October,2
2022,Female,13,Raining no high winds,November,4
2022,Female,13,Raining no high winds,December,1
2022,Female,13,Raining + high winds,November,2
2022,Female,13,Fog or mist,January,1
2022,Female,14,Fine no high winds,January,5
2022,Female,14,Fine no high winds,February,3
2022,Female,14,Fine no high winds,March,7
2022,Female,14,Fine no high winds,April,5
2022,Female,14,Fine no high winds,May,8
2022,Female,14,Fine no high winds,June,8
2022,Female,14,Fine no high winds,July,5
2022,Female,14,Fine no high winds,August,3
2022,Female,14,Fine no high winds,September,2
2022,Female,14,Fine no high winds,October,8
2022,Female,14,Fine no high winds,November,3
2022,Female,14,Fine no high winds,December,2
2022,Female,14,Raining no high winds,February,1
2022,Female,14,Raining no high winds,September,1
2022,Female,14,Raining no high winds,October,2
2022,Female,14,Raining no high winds,December,1
2022,Female,14,Snowing + high winds,February,1
2022,Female,15,Fine no high winds,January,5
2022,Female,15,Fine no high winds,February,7
2022,Female,15,Fine no high winds,March,2
2022,Female,15,Fine no high winds,April,7
2022,Female,15,Fine no high winds,May,10
2022,Female,15,Fine no high winds,June,11
2022,Female,15,Fine no high winds,July,3
2022,Female,15,Fine no high winds,August,1
2022,Female,15,Fine no high winds,September,4
2022,Female,15,Fine no high winds,October,7
2022,Female,15,Fine no high winds,November,6
2022,Female,15,Fine no high winds,December,5
2022,Female,15,Raining no high winds,January,1
2022,Female,15,Raining no high winds,February,1
2022,Female,15,Raining no high winds,March,5
2022,Female,15,Raining no high winds,October,2
2022,Female,15,Raining no high winds,November,3
2022,Female,15,Fine + high winds,January,1
2022,Female,15,Fine + high winds,April,1
2022,Female,16,Fine no high winds,January,9
2022,Female,16,Fine no high winds,February,6
2022,Female,16,Fine no high winds,March,4
2022,Female,16,Fine no high winds,April,5
2022,Female,16,Fine no high winds,May,3
2022,Female,16,Fine no high winds,June,3
2022,Female,16,Fine no high winds,July,8
2022,Female,16,Fine no high winds,August,4
2022,Female,16,Fine no high winds,September,7
2022,Female,16,Fine no high winds,October,6
2022,Female,16,Fine no high winds,November,8
2022,Female,16,Fine no high winds,December,3
2022,Female,16,Raining no high winds,January,1
2022,Female,16,Raining no high winds,March,2
2022,Female,16,Raining no high winds,June,1
2022,Female,16,Raining no high winds,September,2
2022,Female,16,Raining no high winds,October,1
2022,Female,16,Raining no high winds,November,2
2022,Female,16,Raining no high winds,December,1
2022,Female,16,Snowing no high winds,February,1
2022,Female,16,Fine + high winds,February,3
2022,Female,16,Fine + high winds,November,1
2022,Female,16,Raining + high winds,October,1
2022,Female,16,Raining + high winds,November,1
2022,Female,17,Fine no high winds,January,10
2022,Female,17,Fine no high winds,February,7
2022,Female,17,Fine no high winds,March,8
2022,Female,17,Fine no high winds,April,9
2022,Female,17,Fine no high winds,May,15
2022,Female,17,Fine no high winds,June,7
2022,Female,17,Fine no high winds,July,14
2022,Female,17,Fine no high winds,August,19
2022,Female,17,Fine no high winds,September,8
2022,Female,17,Fine no high winds,October,10
2022,Female,17,Fine no high winds,November,10
2022,Female,17,Fine no high winds,December,8
2022,Female,17,Raining no high winds,February,1
2022,Female,17,Raining no high winds,April,1
2022,Female,17,Raining no high winds,May,3
2022,Female,17,Raining no high winds,June,1
2022,Female,17,Raining no high winds,September,3
2022,Female,17,Raining no high winds,October,1
2022,Female,17,Raining no high winds,November,5
2022,Female,17,Raining no high winds,December,1
2022,Female,17,Raining + high winds,February,1
2022,Female,17,Raining + high winds,July,1
2022,Female,17,Raining + high winds,October,1
2022,Female,17,Fog or mist,November,1
2022,Female,18,Fine no high winds,January,10
2022,Female,18,Fine no high winds,February,8
2022,Female,18,Fine no high winds,March,13
2022,Female,18,Fine no high winds,April,11
2022,Female,18,Fine no high winds,May,12
2022,Female,18,Fine no high winds,June,17
2022,Female,18,Fine no high winds,July,15
2022,Female,18,Fine no high winds,August,7
2022,Female,18,Fine no high winds,September,13
2022,Female,18,Fine no high winds,October,13
2022,Female,18,Fine no high winds,November,11
2022,Female,18,Fine no high winds,December,9
2022,Female,18,Raining no high winds,January,2
2022,Female,18,Raining no high winds,February,4
2022,Female,18,Raining no high winds,March,6
2022,Female,18,Raining no high winds,June,2
2022,Female,18,Raining no high winds,July,2
2022,Female,18,Raining no high winds,September,4
2022,Female,18,Raining no high winds,October,4
2022,Female,18,Raining no high winds,November,1
2022,Female,18,Snowing no high winds,December,1
2022,Female,18,Fine + high winds,February,2
2022,Female,18,Fine + high winds,May,1
2022,Female,18,Fine + high winds,December,1
2022,Female,18,Raining + high winds,February,1
2022,Female,18,Raining + high winds,November,2
2022,Female,18,Raining + high winds,December,1
2022,Female,18,Snowing + high winds,February,1
2022,Female,19,Fine no high winds,January,20
2022,Female,19,Fine no high winds,February,7
2022,Female,19,Fine no high winds,March,8
2022,Female,19,Fine no high winds,April,11
2022,Female,19,Fine no high winds,May,13
2022,Female,19,Fine no high winds,June,18
2022,Female,19,Fine no high winds,July,15
2022,Female,19,Fine no high winds,August,12
2022,Female,19,Fine no high winds,September,6
2022,Female,19,Fine no high winds,October,14
2022,Female,19,Fine no high winds,November,9
2022,Female,19,Fine no high winds,December,11
2022,Female,19,Raining no high winds,January,3
2022,Female,19,Raining no high winds,February,4
2022,Female,19,Raining no high winds,March,1
2022,Female,19,Raining no high winds,April,1
2022,Female,19,Raining no high winds,May,3
2022,Female,19,Raining no high winds,June,1
2022,Female,19,Raining no high winds,September,3
2022,Female,19,Raining no high winds,October,4
2022,Female,19,Raining no high winds,November,9
2022,Female,19,Raining no high winds,December,5
2022,Female,19,Snowing no high winds,March,1
2022,Female,19,Fine + high winds,February,1
2022,Female,19,Fine + high winds,May,2
2022,Female,19,Fine + high winds,August,2
2022,Female,19,Fine + high winds,October,1
2022,Female,19,Raining + high winds,October,1
2022,Female,20,Fine no high winds,January,13
2022,Female,20,Fine no high winds,February,7
2022,Female,20,Fine no high winds,March,18
2022,Female,20,Fine no high winds,April,7
2022,Female,20,Fine no high winds,May,22
2022,Female,20,Fine no high winds,June,15
2022,Female,20,Fine no high winds,July,9
2022,Female,20,Fine no high winds,August,11
2022,Female,20,Fine no high winds,September,7
2022,Female,20,Fine no high winds,October,13
2022,Female,20,Fine no high winds,November,11
2022,Female,20,Fine no high winds,December,8
2022,Female,20,Raining no high winds,January,1
2022,Female,20,Raining no high winds,March,2
2022,Female,20,Raining no high winds,April,2
2022,Female,20,Raining no high winds,May,2
2022,Female,20,Raining no high winds,June,3
2022,Female,20,Raining no high winds,July,2
2022,Female,20,Raining no high winds,August,1
2022,Female,20,Raining no high winds,October,3
2022,Female,20,Raining no high winds,November,2
2022,Female,20,Raining no high winds,December,2
2022,Female,20,Fine + high winds,January,1
2022,Female,20,Fine + high winds,February,1
2022,Female,20,Fine + high winds,August,1
2022,Female,20,Fine + high winds,October,2
2022,Female,20,Fine + high winds,December,1
2022,Female,20,Raining + high winds,February,1
2022,Female,20,Fog or mist,April,1
2022,Female,20,Fog or mist,November,1
2022,Female,21,Fine no high winds,January,11
2022,Female,21,Fine no high winds,February,10
2022,Female,21,Fine no high winds,March,12
2022,Female,21,Fine no high winds,April,9
2022,Female,21,Fine no high winds,May,12
2022,Female,21,Fine no high winds,June,14
2022,Female,21,Fine no high winds,July,13
2022,Female,21,Fine no high winds,August,6
2022,Female,21,Fine no high winds,September,9
2022,Female,21,Fine no high winds,October,9
2022,Female,21,Fine no high winds,November,6
2022,Female,21,Fine no high winds,December,10
2022,Female,21,Raining no high winds,February,3
2022,Female,21,Raining no high winds,March,1
2022,Female,21,Raining no high winds,May,1
2022,Female,21,Raining no high winds,July,1
2022,Female,21,Raining no high winds,August,3
2022,Female,21,Raining no high winds,September,3
2022,Female,21,Raining no high winds,October,10
2022,Female,21,Raining no high winds,November,1
2022,Female,21,Raining no high winds,December,1
2022,Female,21,Snowing no high winds,February,1
2022,Female,21,Snowing no high winds,March,1
2022,Female,21,Fine + high winds,February,1
2022,Female,21,Fine + high winds,April,1
2022,Female,21,Raining + high winds,November,1
2022,Female,21,Fog or mist,March,1
2022,Female,21,Fog or mist,November,2
2022,Female,22,Fine no high winds,January,10
2022,Female,22,Fine no high winds,February,6
2022,Female,22,Fine no high winds,March,10
2022,Female,22,Fine no high winds,April,4
2022,Female,22,Fine no high winds,May,12
2022,Female,22,Fine no high winds,June,10
2022,Female,22,Fine no high winds,July,16
2022,Female,22,Fine no high winds,August,10
2022,Female,22,Fine no high winds,September,8
2022,Female,22,Fine no high winds,October,9
2022,Female,22,Fine no high winds,November,9
2022,Female,22,Fine no high winds,December,6
2022,Female,22,Raining no high winds,January,2
2022,Female,22,Raining no high winds,February,2
2022,Female,22,Raining no high winds,March,1
2022,Female,22,Raining no high winds,April,1
2022,Female,22,Raining no high winds,May,3
2022,Female,22,Raining no high winds,June,1
2022,Female,22,Raining no high winds,July,1
2022,Female,22,Raining no high winds,August,1
2022,Female,22,Raining no high winds,September,1
2022,Female,22,Raining no high winds,October,4
2022,Female,22,Raining no high winds,November,3
2022,Female,22,Raining no high winds,December,1
2022,Female,22,Fine + high winds,February,1
2022,Female,22,Raining + high winds,February,2
2022,Female,22,Fog or mist,November,1
2022,Female,23,Fine no high winds,January,4
2022,Female,23,Fine no high winds,February,9
2022,Female,23,Fine no high winds,March,10
2022,Female,23,Fine no high winds,April,6
2022,Female,23,Fine no high winds,May,5
2022,Female,23,Fine no high winds,June,7
2022,Female,23,Fine no high winds,July,14
2022,Female,23,Fine no high winds,August,12
2022,Female,23,Fine no high winds,September,12
2022,Female,23,Fine no high winds,October,13
2022,Female,23,Fine no high winds,November,14
2022,Female,23,Fine no high winds,December,12
2022,Female,23,Raining no high winds,January,1
